key,creation-date,resolution-date,resolution,type,priority
CLI-161,2008-07-25T09:53:50.000+0000,2009-05-30T13:55:44.000+0000,Fixed,Bug,Minor
CLI-160,2008-07-25T09:19:19.000+0000,2009-05-30T13:57:29.000+0000,Fixed,Improvement,Major
CLI-159,2008-07-23T20:29:05.000+0000,2008-07-27T20:37:02.000+0000,Fixed,Bug,Major
CLI-158,2008-06-04T14:23:18.000+0000,2008-07-24T19:38:43.000+0000,Fixed,Bug,Major
CLI-157,2008-05-30T18:00:50.000+0000,2008-06-01T10:03:02.000+0000,Fixed,Improvement,Major
CLI-156,2008-05-27T21:35:39.000+0000,2008-05-29T13:39:50.000+0000,Fixed,Bug,Trivial
CLI-155,2008-05-12T19:45:00.000+0000,2008-05-13T04:55:10.000+0000,Fixed,Improvement,Major
CLI-154,2008-04-30T09:00:38.000+0000,2008-06-13T17:15:20.000+0000,Fixed,Bug,Major
CLI-153,2008-04-25T08:45:23.000+0000,2008-04-25T11:11:45.000+0000,Fixed,Task,Trivial
CLI-151,2008-02-18T22:20:39.000+0000,2009-02-18T05:20:49.000+0000,Fixed,Bug,Major
CLI-150,2008-01-23T15:26:05.000+0000,2008-07-30T20:19:56.000+0000,Fixed,Bug,Major
CLI-149,2008-01-16T17:06:11.000+0000,2008-05-08T06:56:49.000+0000,Fixed,Bug,Major
CLI-148,2007-09-13T22:01:03.000+0000,2008-01-02T07:03:57.000+0000,Won't Fix,Bug,Minor
CLI-146,2007-08-21T05:48:37.000+0000,2007-08-21T22:00:48.000+0000,Fixed,Bug,Minor
CLI-145,2007-08-17T16:48:57.000+0000,2008-06-09T07:27:15.000+0000,Fixed,Bug,Major
CLI-144,2007-08-17T15:27:49.000+0000,2008-07-23T20:12:17.000+0000,Fixed,Bug,Major
CLI-143,2007-08-14T14:48:45.000+0000,2008-06-02T15:15:26.000+0000,Fixed,Bug,Critical
CLI-142,2007-08-06T14:20:59.000+0000,2008-05-08T06:43:29.000+0000,Fixed,Improvement,Minor
CLI-141,2007-08-06T14:16:04.000+0000,2007-11-18T21:41:51.000+0000,Fixed,Bug,Minor
CLI-140,2007-08-06T14:14:12.000+0000,2007-11-18T21:43:43.000+0000,Fixed,Improvement,Minor
CLI-139,2007-07-29T13:11:26.000+0000,2007-07-29T16:43:57.000+0000,Fixed,Bug,Minor
CLI-138,2007-07-25T16:42:45.000+0000,2007-08-14T14:03:48.000+0000,Won't Fix,Bug,Major
CLI-137,2007-07-22T07:25:11.000+0000,2008-06-13T15:12:46.000+0000,Fixed,Bug,Blocker
CLI-136,2007-07-05T18:56:27.000+0000,2007-07-08T21:38:52.000+0000,Won't Fix,Improvement,Trivial
CLI-135,2007-06-29T06:56:40.000+0000,2007-06-29T07:11:00.000+0000,Fixed,Bug,Major
CLI-134,2007-06-29T06:49:36.000+0000,2007-06-29T06:55:12.000+0000,Fixed,Bug,Major
CLI-133,2007-06-05T23:51:39.000+0000,2007-06-06T07:11:00.000+0000,Fixed,Bug,Minor
CLI-132,2007-06-05T02:31:10.000+0000,2007-06-05T04:01:58.000+0000,Fixed,Improvement,Minor
CLI-131,2007-06-05T02:05:56.000+0000,2007-06-06T08:03:34.000+0000,Fixed,Improvement,Minor
CLI-130,2007-05-28T07:45:00.000+0000,2007-05-28T07:55:25.000+0000,Fixed,Task,Major
CLI-129,2007-05-13T03:49:16.000+0000,2007-05-21T01:20:43.000+0000,Fixed,Bug,Major
CLI-128,2007-03-15T10:15:58.000+0000,2007-03-15T16:34:02.000+0000,Fixed,Bug,Minor
CLI-127,2007-01-17T11:22:34.000+0000,2007-03-15T16:45:09.000+0000,Fixed,Bug,Major
CLI-126,2006-11-28T18:58:07.000+0000,2008-07-22T20:27:58.000+0000,Fixed,Improvement,Major
CLI-124,2006-07-28T09:54:24.000+0000,2008-07-30T20:01:48.000+0000,Fixed,Improvement,Major
CLI-123,2006-07-28T09:49:39.000+0000,2008-07-24T20:28:52.000+0000,Fixed,Bug,Minor
CLI-122,2006-07-10T13:31:04.000+0000,2007-10-27T23:05:59.000+0000,Fixed,Sub-task,Major
CLI-121,2006-07-09T00:05:42.000+0000,2008-02-23T20:08:31.000+0000,Fixed,Bug,Major
CLI-115,2004-10-03T17:39:13.000+0000,2006-05-16T11:13:25.000+0000,Incomplete,Improvement,Minor
CLI-114,2003-10-23T16:07:46.000+0000,2007-03-15T16:48:40.000+0000,Fixed,Improvement,Minor
CLI-112,2003-10-23T16:22:34.000+0000,2007-03-15T16:48:40.000+0000,Fixed,Improvement,Minor
CLI-110,2002-08-05T00:23:57.000+0000,2007-03-15T16:48:40.000+0000,Fixed,Improvement,Minor
CLI-109,2005-08-15T14:35:23.000+0000,2007-10-27T22:58:39.000+0000,Won't Fix,Improvement,Minor
CLI-108,2004-02-14T03:11:52.000+0000,2007-03-15T16:48:40.000+0000,Fixed,Improvement,Minor
CLI-107,2002-08-05T00:30:19.000+0000,2007-03-15T16:48:40.000+0000,Fixed,Improvement,Minor
CLI-106,2004-02-14T04:12:00.000+0000,2007-03-15T16:48:40.000+0000,Fixed,Improvement,Minor
CLI-105,2005-08-15T14:36:43.000+0000,2007-08-15T05:39:26.000+0000,Fixed,Improvement,Minor
CLI-104,2005-04-29T09:39:22.000+0000,2007-03-15T16:48:40.000+0000,Fixed,Improvement,Minor
CLI-102,2004-10-07T09:40:17.000+0000,2006-07-12T12:48:51.000+0000,Won't Fix,Improvement,Minor
CLI-101,2004-02-14T03:18:37.000+0000,2007-03-15T16:48:40.000+0000,Fixed,Improvement,Minor
CLI-100,2003-10-23T16:16:58.000+0000,2007-03-15T16:48:39.000+0000,Fixed,Improvement,Minor
CLI-99,2005-08-15T14:48:01.000+0000,2007-08-23T22:36:49.000+0000,Fixed,Improvement,Minor
