_project,afferent-couplings,alert_status,blocker_violations,bugs,class_complexity,classes,code_smells,cognitive_complexity,comment_lines,comment_lines_density,complexity,complexity_in_classes,complexity_in_functions,confirmed_issues,coverage,critical_violations,development_cost,directories,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,efferent-couplings,effort_to_reach_maintainability_rating_a,false_positive_issues,file_complexity,file_complexity_distribution,files,function_complexity,function_complexity_distribution,functions,info_violations,line_coverage,lines,lines_to_cover,major_violations,minor_violations,missing_package_info,missing_package_info_count,ncloc,ncloc_language_distribution,new_blocker_violations,new_bugs,new_code_smells,new_critical_violations,new_info_violations,new_maintainability_rating,new_major_violations,new_minor_violations,new_reliability_rating,new_reliability_remediation_effort,new_security_rating,new_security_remediation_effort,new_sqale_debt_ratio,new_technical_debt,new_violations,new_vulnerabilities,number-of-classes-and-interfaces,open_issues,package,package-dependency-cycles,package_count,quality_gate_details,quality_profiles,reliability_rating,reliability_remediation_effort,reopened_issues,security_rating,security_remediation_effort,sqale_debt_ratio,sqale_index,sqale_rating,statements,uncovered_lines,violations,vulnerabilities,wont_fix_issues,code_smells:antisingleton,code_smells:baseclass_abstract,code_smells:class_data_private,code_smells:complex_class,code_smells:large_class,code_smells:lazy_class,code_smells:long_method,code_smells:long_parameter_list,code_smells:many_field_attributes_not_complex,code_smells:message_chains,code_smells:refused_parent_bequest,code_smells:spaghetti_code,code_smells:speculative_generality,code_smells:swiss_army_knife,common-java:DuplicatedBlocks,jdepend:afferent-couplings,squid:AssignmentInSubExpressionCheck,squid:ClassCyclomaticComplexity,squid:ClassVariableVisibilityCheck,squid:CommentedOutCodeLine,squid:EmptyStatementUsageCheck,squid:ForLoopCounterChangedCheck,squid:HiddenFieldCheck,squid:LabelsShouldNotBeUsedCheck,squid:MethodCyclomaticComplexity,squid:MissingDeprecatedCheck,squid:ModifiersOrderCheck,squid:ObjectFinalizeCheck,squid:ObjectFinalizeOverridenCallsSuperFinalizeCheck,squid:ObjectFinalizeOverridenCheck,squid:RedundantThrowsDeclarationCheck,squid:RightCurlyBraceStartLineCheck,squid:S00100,squid:S00101,squid:S00105,squid:S00107,squid:S00108,squid:S00112,squid:S00114,squid:S00115,squid:S00116,squid:S00117,squid:S00119,squid:S00120,squid:S00122,squid:S106,squid:S1065,squid:S1066,squid:S1067,squid:S1068,squid:S1118,squid:S1125,squid:S1126,squid:S1132,squid:S1133,squid:S1134,squid:S1135,squid:S1141,squid:S1143,squid:S1145,squid:S1147,squid:S1148,squid:S1149,squid:S1150,squid:S1151,squid:S1153,squid:S1155,squid:S1157,squid:S1158,squid:S1160,squid:S1161,squid:S1163,squid:S1165,squid:S1166,squid:S1168,squid:S1170,squid:S1171,squid:S1172,squid:S1174,squid:S1175,squid:S1181,squid:S1182,squid:S1185,squid:S1186,squid:S1188,squid:S1190,squid:S1191,squid:S1192,squid:S1193,squid:S1194,squid:S1195,squid:S1197,squid:S1199,squid:S1201,squid:S1206,squid:S1210,squid:S1213,squid:S1214,squid:S1215,squid:S1217,squid:S1219,squid:S1220,squid:S1221,squid:S1223,squid:S1226,squid:S1244,squid:S128,squid:S1301,squid:S1312,squid:S1313,squid:S1314,squid:S1319,squid:S134,squid:S135,squid:S1444,squid:S1452,squid:S1479,squid:S1481,squid:S1488,squid:S1596,squid:S1598,squid:S1700,squid:S1764,squid:S1850,squid:S1860,squid:S1862,squid:S1872,squid:S1905,squid:S1948,squid:S1994,squid:S2055,squid:S2061,squid:S2065,squid:S2066,squid:S2068,squid:S2077,squid:S2094,squid:S2109,squid:S2110,squid:S2111,squid:S2114,squid:S2116,squid:S2118,squid:S2123,squid:S2130,squid:S2131,squid:S2133,squid:S2134,squid:S2151,squid:S2153,squid:S2157,squid:S2160,squid:S2165,squid:S2166,squid:S2175,squid:S2176,squid:S2178,squid:S2183,squid:S2184,squid:S2200,squid:S2225,squid:S2232,squid:S2236,squid:S2250,squid:S2251,squid:S2252,squid:S2272,squid:S2273,squid:S2274,squid:S2275,squid:S2276,squid:S2326,squid:S2386,squid:S2388,squid:S2437,squid:S2438,squid:S2440,squid:S2447,squid:S888,squid:SwitchLastCaseIsDefaultCheck,squid:UnusedPrivateMethod,squid:UselessImportCheck,squid:UselessParenthesesCheck
QC:freecs,0,ERROR,9,44,38.8,146,2736,7527,1593,6.6,5658,5658,5651,0,0.0,121,679350,12,230,66,3013,10.0,0,7730,0,40.7,0=21;5=16;10=35;20=21;30=24;60=6;90=16,139,4.0,1=742;2=268;4=100;6=69;8=42;10=23;12=94,1401,6,0.0,30019,16451,1909,1022,12,12,22645,java=22645,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,3067,12,0,12,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"9";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"3067";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,660,0,4.0,3175,6.1,41697,2.0,14544,16451,3067,287,0,13,0,26,27,0,0,29,21,1,0,0,0,0,0,66,0,0,6,246,50,7,3,6,0,104,0,23,0,0,18,8,0,7,1,112,1,32,50,0,7,118,45,0,4,114,43,0,43,13,12,4,7,39,212,0,11,6,22,0,0,4,7,428,0,12,0,31,8,0,1,23,0,1,50,1,113,0,9,18,0,0,1,0,10,0,0,0,158,0,0,0,79,0,3,6,0,72,6,1,0,0,0,0,0,57,0,1,0,0,1,0,9,202,39,24,0,0,13,3,0,0,1,0,0,0,1,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,2,3,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,6,1,0,0
QC:freemind,0,ERROR,2,102,13.8,763,5401,7767,9442,14.9,10538,10538,10162,0,0.0,206,1612200,48,90,43,2930,3.4,0,0,0,23.7,0=114;5=74;10=112;20=42;30=61;60=22;90=19,444,1.8,1=3374;2=1206;4=343;6=121;8=51;10=30;12=48,5728,225,0.0,86617,31740,3000,2265,48,48,53740,java=53740,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,5698,48,0,48,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"2";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"5698";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,2069,0,4.0,2115,3.6,58336,1.0,24881,31740,5698,195,0,27,10,11,64,0,11,89,28,0,37,34,6,3,4,43,0,1,8,170,592,66,1,42,1,61,22,135,0,0,0,28,505,6,7,340,2,48,22,4,12,57,73,0,0,165,77,0,27,17,68,7,8,7,189,22,47,203,6,0,2,4,5,248,0,24,0,13,13,3,5,279,0,1,84,18,26,2,21,0,0,1,0,11,259,13,0,0,70,1,0,0,21,21,0,1,5,222,5,0,0,0,0,0,0,93,16,5,9,33,0,0,35,94,11,13,0,0,46,64,13,0,2,0,2,0,1,0,9,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,1,0,0,0,0,0,0,2,0,12,0,2,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,23,17,318,1
QC:galleon,0,ERROR,74,91,20.7,536,7501,17062,5387,8.1,11078,11078,10206,0,0.0,416,1834110,35,1141,125,31638,23.4,0,0,0,43.4,0=23;5=50;10=52;20=37;30=46;60=14;90=33,255,2.5,1=2430;2=859;4=295;6=114;8=59;10=40;12=110,4004,74,0.0,135477,40189,4344,2898,35,35,61137,java=61137,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,7806,35,0,35,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"74";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"7806";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,1304,0,4.0,3145,4.6,84030,1.0,33287,40189,7806,214,0,20,0,18,66,0,0,50,37,0,0,0,3,0,0,125,0,0,9,89,545,14,4,20,0,145,0,60,0,0,1,10,0,4,5,176,22,179,40,0,8,24,82,0,13,5,36,0,97,12,295,34,4,3,327,0,0,74,207,0,0,4,37,49,0,102,10,172,50,2,1,332,0,2,234,25,17,0,9,0,0,69,1,9,85,81,0,9,281,0,0,0,49,4,0,4,2,1574,1,12,0,0,0,0,0,118,4,3,50,152,12,0,12,490,14,74,0,0,238,10,0,0,1,2,0,0,0,0,32,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,7,0,1,0,0,0,1,0,0,0,0,2,1,42,0,0,0,1,4,0,0,0,1,2,0,2,0,1,0,0,0,0,0,0,137,14,239,4
QC:ganttproject,0,ERROR,16,101,11.9,738,4298,6130,5980,11.0,8750,8750,8007,0,0.0,171,1458450,55,66,39,1234,1.8,0,0,0,16.5,0=218;5=113;10=92;20=42;30=38;60=10;90=17,530,1.6,1=3175;2=832;4=239;6=85;8=34;10=14;12=42,5065,186,0.0,69823,28367,2952,1218,55,55,48615,java=48615,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,4543,55,0,55,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"16";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"4543";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,1920,0,4.0,1780,3.5,51179,1.0,21687,28367,4543,144,0,13,0,16,79,0,12,103,39,1,0,0,3,0,0,39,0,39,6,101,851,19,1,7,0,48,7,29,0,0,0,8,2,5,1,173,1,24,54,0,2,60,25,0,4,0,209,0,25,3,81,25,56,11,253,7,0,179,4,1,0,3,8,47,0,27,1,23,0,0,1,134,1,1,48,17,13,4,30,0,0,7,5,6,80,47,0,0,68,0,0,0,16,98,3,8,3,237,11,0,0,0,0,0,0,61,12,3,5,1,0,100,16,103,19,27,0,0,75,52,4,0,2,0,0,0,0,0,10,47,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,7,28,0,0,0,15,0,0,0,0,0,1,0,0,6,0,0,0,0,7,0,0,0,1,1,0,0,0,6,1,0,0,0,0,0,16,13,324,1
QC:hadoop,0,ERROR,177,390,13.3,3866,22975,44391,62349,16.3,51444,51444,50180,0,0.0,1831,9596730,239,2969,753,87683,17.4,0,0,0,22.9,0=626;5=436;10=514;20=232;30=272;60=88;90=81,2249,2.1,1=14701;2=5402;4=1497;6=667;8=357;10=186;12=376,24378,389,0.0,502947,206531,12821,8907,235,235,319891,java=319891,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,24125,239,0,239,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"177";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"24125";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,2735,0,4.0,11225,3.4,327223,1.0,158446,206531,24125,760,0,103,11,46,326,0,36,550,117,1,0,10,11,6,0,753,0,40,26,318,386,126,268,243,17,432,77,714,0,0,8,202,28,103,99,206,118,356,987,0,211,374,808,167,4,817,2084,6,136,69,123,116,188,58,563,217,5,172,122,13,23,80,226,285,0,205,7,121,19,0,131,220,8,22,1302,97,40,45,110,0,4,149,1,22,450,71,0,9,1409,44,2,0,332,289,1,12,2,1457,30,2,0,0,3,0,1,410,35,29,44,264,149,155,101,763,91,55,16,0,368,116,0,0,21,2,0,0,1,32,25,7,0,0,0,2,0,2,1,2,0,0,1,0,0,0,0,17,77,0,1,1,31,0,4,0,6,0,1,4,2,198,0,0,0,1,18,1,0,7,1,5,0,5,10,9,1,0,0,0,0,1,32,54,725,13
QC:heritrix,0,ERROR,14,80,17.7,654,4797,9991,25781,28.4,11596,11596,11429,0,0.0,771,1947480,48,138,61,2357,1.9,0,0,0,20.6,0=172;5=108;10=136;20=47;30=54;60=20;90=25,562,2.0,1=3332;2=1186;4=416;6=152;8=78;10=35;12=83,5608,423,0.0,127112,40457,2172,1788,48,48,64916,java=64916,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,5168,48,0,48,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"14";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"5168";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,1106,0,4.0,3795,3.3,63987,1.0,28413,40457,5168,291,0,37,0,20,89,0,2,138,34,0,0,0,1,0,0,61,0,5,5,56,191,18,23,10,4,92,88,360,0,0,7,135,10,7,0,143,15,5,121,0,10,39,88,9,0,127,122,0,38,17,2,21,47,14,126,90,27,333,16,1,0,7,157,143,0,18,1,36,5,2,26,108,1,0,491,31,8,0,15,2,0,6,2,30,17,5,0,1,174,5,0,0,50,5,2,7,4,160,15,4,0,0,0,0,0,149,0,3,1,159,20,1,26,171,37,30,0,1,9,19,0,0,1,3,1,0,0,10,56,17,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,10,4,0,0,0,2,0,5,0,6,0,0,2,0,18,0,0,0,0,3,0,0,5,0,2,0,0,1,25,0,0,0,0,0,0,5,1,18,0
QC:hsqldb,0,ERROR,142,103,48.0,649,13561,28965,41658,21.8,31146,31146,31048,0,0.0,1392,4491660,34,706,162,22150,8.2,0,0,0,60.6,0=78;5=47;10=90;20=68;30=106;60=34;90=91,514,3.2,1=4937;2=2273;4=823;6=422;8=211;10=139;12=447,9716,197,0.0,270492,100371,8689,3719,34,34,149722,java=149722,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,14139,34,0,34,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"142";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"0";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"14139";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,1780,0,4.0,6665,3.6,160275,1.0,78049,100371,14139,475,0,42,3,44,112,1,31,109,35,0,0,1,8,0,0,162,0,4,36,187,682,32,86,52,19,511,6,300,0,0,6,148,8,24,2,0,24,355,289,7,488,45,904,0,0,123,707,1,114,27,32,27,5,25,390,6,2,191,81,4,0,9,129,330,0,1015,2,16,26,0,13,115,4,14,883,26,4,0,70,0,0,133,0,45,151,1,0,0,377,9,0,0,32,1026,5,4,1,787,33,7,0,0,0,0,0,542,15,109,54,5,12,4,10,521,160,28,0,27,271,98,0,0,1,0,0,0,0,0,13,35,0,0,0,0,0,34,58,0,0,0,6,0,0,0,0,15,15,0,0,1,0,2,1,0,2,0,0,2,3,16,0,0,1,0,1,0,0,0,4,5,0,1,0,27,0,0,0,0,21,0,193,14,46,1
QC:htmlunit,0,ERROR,10,34,15.7,897,5129,8140,25363,20.1,14040,14040,13785,0,0.0,213,3022800,43,566,117,7900,4.5,0,0,0,17.7,0=350;5=135;10=137;20=56;30=71;60=19;90=27,795,1.6,1=6568;2=1128;4=314;6=127;8=67;10=30;12=77,8417,111,0.0,175210,65622,1545,3297,43,43,100760,java=100760,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,5176,43,0,43,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"10";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"0";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"5176";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,545,0,4.0,210,2.9,88103,1.0,35623,65622,5176,13,0,0,0,0,176,0,1,178,3,0,0,0,0,0,0,117,0,0,8,0,23,3,24,0,1,95,9,0,0,0,0,89,0,49,0,0,2,0,318,0,17,788,0,0,27,2,72,0,14,35,2,0,1,6,180,33,4,78,0,0,0,0,9,7,0,24,1,3,6,1,3,6,0,0,180,3,8,0,18,0,0,7,4,5,48,10,0,0,2069,2,1,0,5,0,0,0,4,23,1,0,0,0,0,0,0,134,2,1,0,1,2,0,0,112,10,0,1,0,1,14,41,0,0,0,0,3,0,0,8,9,1,0,0,4,1,2,0,1,0,0,0,0,0,1,0,1,3,0,0,0,3,0,3,0,1,0,0,0,0,5,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0
QC:informa,0,ERROR,1,1,11.0,223,962,1698,7594,35.4,2442,2442,2433,0,0.0,128,416220,26,89,42,1514,5.1,0,0,0,12.2,0=92;5=30;10=39;20=17;30=13;60=8;90=1,200,1.5,1=1083;2=229;4=55;6=17;8=10;10=9;12=11,1620,68,0.0,29776,8275,367,428,26,26,13874,java=13874,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,992,26,0,26,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"1";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"0";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"992";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,30,0,4.0,290,3.3,13936,1.0,6598,8275,992,29,0,8,4,0,24,0,0,31,10,0,0,3,0,0,0,42,0,0,0,0,51,0,0,2,0,12,0,17,0,0,0,5,0,0,25,42,0,3,22,0,5,5,47,0,0,110,30,0,0,3,0,11,2,9,9,0,3,68,7,0,0,0,29,12,0,0,0,13,0,0,1,9,0,0,98,5,0,0,2,0,0,0,0,1,33,0,0,2,70,0,0,0,3,0,0,0,0,8,3,0,0,0,1,0,0,20,0,0,0,36,0,3,0,12,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1
QC:ireport,0,ERROR,59,143,20.0,1753,17062,26762,22989,9.5,35036,35036,32403,0,0.0,1301,6540960,120,5445,829,99073,29.1,0,0,0,21.5,0=225;5=605;10=403;20=127;30=160;60=42;90=64,1626,2.0,1=11591;2=2388;4=1050;6=435;8=177;10=75;12=283,16201,171,0.0,340346,125445,8281,7822,120,120,218032,java=218032,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,17634,120,0,120,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"59";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"17634";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,2321,0,4.0,5145,3.7,242514,1.0,104655,125445,17634,429,0,39,1,36,303,2,9,270,318,0,0,1,8,0,0,829,0,5,25,60,1656,24,25,10,0,325,0,106,0,0,0,260,7,10,21,150,12,274,100,0,3,23,306,0,0,2135,196,0,103,61,134,27,20,35,403,0,76,171,64,0,0,4,273,88,0,71,0,162,5,0,0,234,0,0,708,38,8,0,955,0,0,55,0,29,278,68,0,1,293,0,0,0,48,90,0,4,1,3466,0,7,0,0,0,0,0,181,29,3,18,4,4,0,22,588,37,42,0,0,191,82,4,0,2,18,0,0,2,8,6,64,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,9,74,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,24,0,0,0,0,0,0,0,0,43,0,0,0,0,68,0,75,16,465,0
QC:itext,0,ERROR,3,124,30.4,582,6531,19213,27651,26.1,17704,17704,17658,0,0.0,421,2350440,34,261,63,5847,4.0,0,0,0,39.6,0=118;5=70;10=75;20=41;30=63;60=25;90=55,447,3.0,1=3643;2=1123;4=400;6=222;8=129;10=87;12=260,5983,37,0.0,145450,53492,3577,2804,34,34,78348,java=78348,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,6842,34,0,34,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"3";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"6842";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,877,0,4.0,2385,3.4,80205,1.0,43994,53492,6842,187,0,17,0,18,113,1,26,73,28,0,0,0,3,0,0,63,0,22,17,120,137,11,52,26,3,307,1,82,0,0,1,16,0,26,2,320,29,78,110,0,73,103,237,0,1,214,41,0,29,52,38,20,1,6,223,17,0,20,15,0,0,0,13,142,1,250,0,4,0,0,6,30,0,2,235,65,2,0,19,0,0,2,4,0,50,0,0,0,116,1,0,0,909,139,0,1,5,499,1,0,0,0,0,0,0,338,97,13,18,0,13,0,155,532,65,10,0,2,27,38,0,0,4,1,0,0,0,0,12,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,50,2,0,0,0,0,4,0,4,0,0,0,8,2,0,0,0,0,2,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,104,4,1,1
QC:ivatagroupware,0,ERROR,8,23,16.7,228,1468,3453,17200,41.0,3813,3813,3805,0,0.0,58,741480,94,101,19,1180,1.6,0,0,0,17.2,0=78;5=41;10=46;20=19;30=25;60=7;90=6,222,1.9,1=1413;2=205;4=72;6=31;8=36;10=16;12=47,2011,180,0.0,72094,14448,922,342,94,94,24716,java=24716,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,1510,94,0,94,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"8";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"1510";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],5.0,391,0,4.0,310,3.1,22786,1.0,9818,14448,1510,19,0,1,0,2,38,0,6,44,23,0,0,0,0,0,0,19,0,27,1,4,68,3,0,7,0,51,0,62,0,0,2,12,1,0,0,0,9,0,44,0,4,9,15,0,0,0,1,0,5,12,11,14,1,3,122,0,2,180,32,3,0,0,5,98,0,3,0,20,1,8,0,0,3,0,29,2,0,0,5,2,2,0,0,2,72,0,0,0,96,2,0,0,5,0,0,5,2,44,5,0,0,0,0,0,0,8,1,0,0,32,0,0,0,71,7,1,0,0,88,2,0,0,0,3,0,0,0,1,2,4,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,3,5,6,3
QC:jag,0,ERROR,2,18,23.2,136,1758,3269,3749,19.3,3151,3151,2993,0,0.0,189,470970,18,36,20,551,1.9,0,0,0,23.9,0=32;5=19;10=32;20=21;30=16;60=6;90=6,132,2.2,1=867;2=214;4=84;6=40;8=22;10=19;12=29,1340,30,0.0,29030,10315,999,660,18,18,15699,java=15699,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,1880,18,0,18,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"2";"level":"ERROR"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"";"level":"OK"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"1880";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},[{"key":"java-sonar-way-04122";"language":"java";"name":"Sonar way";"rulesUpdatedAt":"2017-03-16T16:05:56+0000"}],4.0,152,0,4.0,1125,4.9,23244,1.0,8585,10315,1880,104,0,11,0,13,19,0,9,30,23,0,0,0,4,0,0,20,0,7,2,54,40,18,1,14,0,38,0,135,0,0,0,7,1,5,0,9,1,24,2,0,24,9,10,0,0,54,29,0,17,3,8,13,1,5,132,0,0,30,23,0,0,4,43,58,0,0,0,4,4,1,1,71,0,0,112,1,0,0,107,0,0,2,0,0,12,2,5,0,41,0,0,0,8,0,2,0,0,266,2,1,0,0,0,1,0,21,0,2,0,9,1,0,26,113,12,1,0,0,10,4,0,0,1,1,0,0,0,8,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,1,0,0,3,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,1,8,29,1
