"issueName","mannWhitneyPvalue","shapiroWilkPvalue","kendallPvalue","kendallTau","pearsonPvalue","pearsonCor"
"squid.S00108",1.74342539563058e-185,1.06977659648504e-78,1.63703126712355e-07,0.09423734424146,2.78027907730015e-08,0.104270334034061
"squid.S00112",1.16948362072262e-111,1.6053979882813e-76,5.74085756858298e-13,0.128680062481107,2.18790616353957e-12,0.131597250470754
"squid.S00115",5.62596134040828e-160,2.18637170434799e-80,0.000327802891955842,0.0643219033758317,0.811315050845875,-0.00449352949282818
"squid.S00116",3.78411680251104e-156,1.0977930343796e-80,1.29875945833074e-07,0.0945299745293882,0.252891222466077,0.0215185912210039
"squid.S00117",2.79612831610327e-103,2.04658342118448e-77,2.42250517519266e-06,0.083725771972108,0.0379079595144294,0.039058264662541
"squid.S00122",1.65326444109378e-13,3.85355288331716e-79,7.28865577168155e-08,0.0930553953884267,1.04926817493942e-08,0.107402731897976
"squid.S106",5.63897146114999e-118,1.37952457929141e-80,1.13763196816479e-16,0.14773656076419,0.0274978663698401,0.0414745728736438
"squid.S1066",6.61327143613787e-65,7.15004534905549e-76,1.52103561813977e-24,0.180720308047445,2.26190944567084e-39,0.243388745677272
"squid.S1067",3.45642646217559e-122,8.37165769064049e-79,5.69326401316995e-11,0.117343345785968,0.0360417355359702,0.0394457099765863
"squid.S1068",2.19659538459309e-206,6.75018649166566e-80,0.808470492496743,0.00436650346175986,0.752606162251105,-0.00593296819244244
"squid.S1118",2.27390431998433e-169,5.90595806684904e-77,0.121383802598966,-0.027938203967376,0.359726436003487,-0.0172382193876573
"squid.S1125",1.82798558890742e-213,1.79380598458524e-80,0.0417589006136841,-0.0366754214679334,0.222502256079862,-0.0229588698216979
"squid.S1126",6.83486816495522e-184,6.43115080283722e-79,5.04041084344626e-12,0.124217867745171,2.66719852019504e-41,0.249353190073381
"squid.S1132",1.46249120656229e-123,6.84499105684653e-80,8.62919003668253e-15,0.138323731565623,0.000408179948386945,0.0664599128024817
"squid.S1133",8.35842698073502e-159,1.13740299987397e-79,0.457077057360664,0.0133456734047193,0.0899362789543901,0.0319102440512084
"squid.S1134",2.86317336235975e-163,1.4938642892511e-78,9.03168139648742e-20,0.163182514667788,1.29765049789972e-20,0.173873632423095
"squid.S1135",7.06583218682717e-75,1.83588934014844e-74,1.27704032629517e-22,0.174104777046633,8.95989243500821e-15,0.145163089823944
"squid.S1141",8.53695808119512e-202,3.36075124518062e-80,3.55376430030346e-05,0.0744502991019944,0.0315884144077117,0.0404444564681082
"squid.S1143",5.70942950894031e-227,5.56710373655132e-81,0.052367401595172,0.0349924106051747,0.0590613534506011,0.0355211723828183
"squid.S1145",3.54131922840141e-226,6.54138735651953e-81,0.44164543690118,0.01387628433471,0.924202212692717,0.0017908282916463
"squid.S1147",7.96207018833166e-224,9.03069251169842e-81,0.0114884304137997,0.0455720862868361,0.0186680366781655,0.0442511929917049
"squid.S1148",2.4627357075961e-185,5.65773843403202e-79,4.11247678780569e-06,0.0828138116547402,0.00340981025929827,0.0550740734328832
"squid.S1149",0.0142686890777115,7.87050863209116e-72,5.02886427476775e-16,0.140066473476856,1.25315582684725e-20,0.173941794139642
"squid.S1150",1.19254467860623e-225,7.9522635808178e-81,0.251216269047864,-0.0206949511901126,0.43756584745389,-0.0146115111967883
"squid.S1151",3.53806707892448e-102,1.96448759945678e-78,9.29041126704543e-08,0.094786087625725,0.00408059934330885,0.0540168846665178
"squid.S1153",1.21975986713758e-222,1.04463041620767e-80,0.117380814649031,0.0282353606477402,0.062957207001727,0.0349900616714734
"squid.S1155",8.66650583612293e-160,8.36490791368919e-78,1.86447348927839e-11,0.120436870161833,2.73950359103564e-10,0.118406888574747
"squid.S1157",2.61472172115104e-226,6.71865631861785e-81,0.00606579715304527,0.0494955058024887,0.00756302650175997,0.050243420312546
"squid.S1158",4.93516107495345e-220,1.57748149863529e-80,0.142173931555416,0.0264582682981621,0.80112878498641,0.00474116963259653
"squid.S1160",4.04758046790027e-225,7.9522635808178e-81,0.251216269047864,-0.0206949511901126,0.43756584745389,-0.0146115111967883
"squid.S1161",2.20633713966502e-179,9.60228134507531e-79,0.112217549604641,0.028515116271369,5.46733876836447e-25,0.19251265278462
"squid.S1165",3.80023812634612e-203,1.46987801096855e-79,0.000386783373754339,-0.0639104276098095,0.0471459304744639,-0.0373498712572243
"squid.S1166",5.2051186477682e-38,1.15929396268453e-75,1.90439301469697e-31,0.204503138121485,1.43657199766594e-24,0.190808291853797
"squid.S1168",3.24117529478724e-132,2.86779064424199e-77,3.3587178480417e-05,0.0741968241162262,4.87480387681073e-08,0.102423312477579
"squid.S1170",1.01519858080853e-217,2.45974808481117e-80,0.0738716181434456,-0.0322167844845329,0.263607114134233,-0.0210397347981773
"squid.S1171",2.45044942160312e-224,1.08473952669163e-80,0.520577969330901,-0.0115875609163941,0.512991496007125,-0.0123131254210438
"squid.S1172",8.45347091786906e-109,2.36766495021073e-80,4.00454055371654e-36,0.224620935821612,0.181701123894114,0.0251344778591207
"squid.S1181",5.03612844756343e-188,7.15647274359235e-79,1.08799366084143e-09,0.109695534192497,5.84389807405562e-20,0.170906873701884
"squid.S1182",1.19254467860623e-225,7.9522635808178e-81,0.948828423156733,-0.00115754073172209,0.743886697892424,-0.00614953515518786
"squid.S1185",1.74397847645667e-212,6.4881398714503e-80,0.548863082235549,0.0108021817686606,0.400257776072871,-0.0158319680273183
"squid.S1186",1.15435036051814e-169,2.36725007173294e-78,1.24625378196967e-21,0.171466238334973,7.17109926733316e-52,0.279528190521291
"squid.S1188",5.64449806601466e-202,1.62688738275857e-79,1.57604165821743e-23,0.180020327210162,5.47968197353143e-64,0.310021144326009
"squid.S1190",6.49390173593365e-226,6.71865631861785e-81,0.348921965725495,-0.0168943638226761,0.526256345107667,-0.0119281357027595
"squid.S1191",4.95396102664202e-223,1.44501391606624e-80,0.135847629052765,0.0269000748022543,0.561577575910564,0.0109262764230446
"squid.S1192",1.18322583791955e-130,3.36808819655461e-77,2.67972358790701e-23,0.177779632436165,6.41775228095423e-17,0.156338896704716
"squid.S1193",7.82246059954631e-215,5.52932351825789e-80,0.0107563194497995,0.0459764230722246,0.000299156012687554,0.0679848605483423
"squid.S1197",6.21821450699592e-174,2.65509120347005e-79,0.000145692623890259,0.0681927710524837,0.163963431111281,0.0261942194825217
